id,en,fr,de,pt-BR,zh-CN
aatech_fxaa,FXAA,FXAA,FXAA,FXAA,FXAA
aatech_msaa,MSAA,MSAA,MSAA,MSAA,MSAA
aatech_smaa,SMAA,SMAA,SMAA,SMAA,SMAA
action_bite,Укусить ручку панели,Mordre la poignée du panneau,Auf den Griff des Panels beißen,Morder puxador do painel,咬住面板把手
action_both,Оба,Les deux,Beide,Ambos,两者
action_bypass,Обойти,Contourner,Umgehen,Desviar,绕过
action_bypassing,ОБХОД...,CONTOURNEMENT...,WIRD UMGANGEN...,DESVIANDO...,正在绕过……
action_CancelJump,Отменить прыжок,Annuler le Saut,Sprung abbrechen,Cancelar pulo,取消跳跃
action_ChangeCat,Сменить кота,Changer de Chat,Katze wechseln,Alterar gata,换猫
action_changeTab,Сменить вкладку,Modifier l'Onglet,Tab wechseln,Trocar aba,切换标签页
action_collapse,Схлопнуть,Réduction,Zusammenziehen,Ocultar,坍缩
action_ControlCamera,Управление камерой,Contrôler la caméra,Überwachungskamera,Controlar câmera,控制镜头
action_Down,Вниз,Bas,Nach unten,Abaixar,下
action_drag,Тянуть,Tirer,Ziehen,Arrastar,拖拽
action_Drop,Бросить,Déposer,Loslassen,Soltar,放下
action_Emote,Эмоция,Émote,Emote,Fazer um emote,表情
action_Examine,Осмотреть,Examiner,Untersuchen,Examinar,检查
action_Fuse,Слиться,Fusion,Verschmelzen,Fundir,合体
action_FuseOtherCat,Слиться с другим котом,Fusionner avec l'Autre Chat,Mit anderer Katze verschmelzen,Fundir com outra gata,与其他猫合体
action_Hack,Взломать,Pirater,Hacken,Hackear,侵入
action_Hint,(Удерживать) Подсказка,(Maintenir) Astuce,(Halten) Hinweis,(Segurar) Dica,（按住）提示
action_HoldEmote,(Удерживать) Колесо эмоций,(Maintenir) Roue d’émotes,(Halten) Emote-Rad,(Segurar) Roda de Emotes,（按住）表情轮盘
action_HoldEmoteDescription,Выберите эмоцию,Choisir l'émote,Emote auswählen,Escolher emote,选择表情
action_HoldJump,(Удерживать) Подготовка прыжка,(Maintenir) Se préparer à sauter,(Halten) Sprung vorbereiten,(Segurar) Preparar para pular,（按住）跳跃准备
action_InsertRemoveBattery,Вставить или извлечь батарею,Insérer ou retirer la batterie,Batterie einsetzen oder entfernen,Inserir ou remover a bateria,插入或取出电池
action_Interact,Взаимодействовать,Interagir,Interagieren,Interagir,互动
